ID,Name_ID,Old_ID,Type,Grade,Make,Model,Picture,Serial_Number,Price,Stored_In,Dept
1,301,301,Baritone Horn-EUPHONIUM,grade,Gold Star,0,img,23064 (713),100.0,0,1
2,2187,2187,Baritone Horn-EUPHONIUM,grade,Conn,19I Connstellation,img,560783,4500.0,125,1
3,2216,2216,Baritone Horn-EUPHONIUM,grade,Bach,EUBA1110,img,1483,1595.0,170,1
4,5005,5005,RENTAL EUPHONIUM,grade,King,2280,img,979267,,131,1
5,310,310,Trombone,grade,Holton,0,img,Bell: 99016 (705); Slide: 101416,100.0,48,1
6,311,311,TROMBONE-Tenor,grade,Yamaha,YSL-352s,img,Bell: 017399; Slide: 405549,500.0,85,1
7,2218,2218,TROMBONE-Tenor,grade,Bach,TRBA36BO,img,138865,1500.0,87,1
8,2217,2217,TROMBONE-Bass,grade,Bach,TRBA50B30,img,144568,2130.0,86,1
9,314,314,TUBA,grade,Yamaha,YBB201,img,002114  (630?),675.0,195,1
10,2225,2225,TUBA,grade,Yamaha,TUYAYBB641,img,14436,4925.0,185,1
11,5500,5500,TUBA,grade,Miraphone,Bbb 191,img,9038516,12439.0,189,1
12,2025,2025,Euphonium ,grade,Wessex,Bb Dolce EP100,img,,,126,1
13,43,43,Trumpet D - Eb,grade,Yamaha,YTR 6610S,img,1632,1545.0,46,1
14,44,44,Trumpet D - Eb,grade,Yamaha,YTR 6610S,img,1652,1545.0,47,1
15,312,312,Trumpet Bb,grade,Le Blanc,0,img,10402,375.0,214,1
16,313,313,Trumpet Bb,grade,Holton and Co.,Al Hirt special,img,444532,200.0,197,1
17,2222,2222,Trumpet Bb,grade,Bach,TRBA180S37,img,500255,1340.0,65,1
18,2712,2712,Trumpet Bb,grade,Bach,TRBA180S37,img,557004,1400.0,208,1
19,974,974,FLUGELHORN,grade,Yamaha,YFH-631,img,008801A,895.0,75,1
20,4013,4013,FLUGELHORN,grade,Yamaha,YFH-631G,img,456541,1550.0,75,1
21,302,302,French horn,grade,Conn,6D,img,618422 (601); in case #602,425.0,0,1
22,303,303,French horn,grade,Conn,0,img,E-10702 (602); in case #601    ,650.0,83,1
23,304,304,French horn,grade,Conn,200D,img,N40192,800.0,82,1
24,2223,2223,French horn,grade,Holton,HOHOH179,img,669161,2289.0,173,1
25,2396,2396,French horn,grade,Holton,HOHOH179,img,675590,200.0,149,1
26,2711,2711,French horn,grade,Holton,HOHOH179,img,680737,2385.0,169,1
27,3578,3578,French horn,grade,Conn,8D,img,L97532,3565.0,167,1
28,3579,3579,French horn,grade,Conn,8D,img,L68628,3975.0,168,1
29,638,638,CLARINET-Bb,grade,no label,0,img,H7358/715,250.0,41,1
30,639,639,CLARINET-Bb,grade,Buffet ,C12,img,256285,535.0,24,1
31,640,640,CLARINET-Bb,grade,Bundy,0,img,184453,200.0,30,1
32,641,641,CLARINET-Bb,grade,Bundy--Resonite/Selmer,0,img,595489,175.0,7,1
33,2221,2221,CLARINET-Bb,grade,Buffett,CLBUR13 // bc1131-5,img,453234,2165.0,27,1
34,2399,2399,CLARINET-Bb,grade,Buffet Crampon & Cie,BC1131-5,img,462537,,26,1
35,3756,3756,CLARINET-Bb,grade,Yamaha,YCL-450,img,21310781,2130.0,12,1
36,635,635,CLARINET-A,grade,Buffet; Evette and Schaeffer,0,img,D3327/433,270.0,9,1
37,636,636,CLARINET-A,grade,Buffet; Evette and Schaeffer,0,img,D3084/435,270.0,17,1
38,637,637,CLARINET-A,grade,Buffet; Evette and Schaeffer,0,img,D3101/434,270.0,18,1
39,2473,2473,CLARINET-A,grade,Buffet Crampon & Cie,PL 1231-5-0,img,440875,1945.0,28,1
40,2474,2474,CLARINET-A,grade,Buffet Crampon & Cie,PL 1231-5-0,img,440894,1945.0,29,1
41,973,973,CLARINET-Eb,grade,Buffet ,R-13,img,293452,2325.0,22,1
42,3217,3217,CLARINET-Eb,grade,Buffet ,BC1507-2-0,img,542175,5134.0,11,1
43,642,642,CLARINET-Bass,grade,Yamaha,YCL-621 ,img,O2337,2257.0,52,1
44,2715,2715,CLARINET-Bass,grade,Buffet,Prestige 400,img,35330,4446.0,129,1
45,2336,2336,CLARINET-Contrabass,grade,Vito,CLVI7182,img,4782E,2695.0,153,1
46,631,631,BASSOON,grade,Tam,0,img,6656/501,480.0,204,1
47,632,632,BASSOON,grade,Kohlert,0,img,249071/508,500.0,212,1
48,633,633,BASSOON,grade,Schreiber,554  -  with Whisper key,img,17980/508.1,1332.0,71,1
49,2247,2247,BASSOON,grade,Fox,Renard 220 Artist,img,29257,5123.0,215,1
50,2881,2881,BASSOON,grade,Fox Renard,III,img,33879,3775.0,69,1
51,5504,5504,BASSOON,grade,Fox,Renard 222,img,68762,7425.0,68,1
52,643,643,English Horn,grade,Noblet,0,img,83/429,480.0,31,1
53,2510,2510,English Horn,grade,Fox,510,img,135,5500.0,178,1
54,189,189,OBOE,grade,Fox,330,img,13298,2600.0,40,1
55,646,646,OBOE,grade,Caputo,0,img,11936/425,600.0,0,1
56,647,647,OBOE,grade,Rigoutat,0,img,023x,600.0,0,1
57,3296,3296,OBOE,grade,Loree,c+3,img,QP 42,6727.0,42,1
58,42,42,SAX-Alto,grade,Bundy/Selmer,0,img,689025,700.0,205,1
59,648,648,SAX-Alto,grade,Buescher/Elkhart - Indiana,0,img,86421-21A,500.0,202,1
60,649,649,SAX-Alto,grade,Buescher,Aristocrat,img,692245,700.0,196,1
61,3456,3456,SAX-Alto,grade,Yamaha,YAS-23,img,256720A,500.0,196,1
62,3457,3457,SAX-Alto,grade,Yamaha,YAS-62II ,img,0,3918.0,174,1
63,3680,3680,SAX-Alto,grade,Yamaha,YAS-480,img,21T85304,2390.0,60,1
64,3681,3681,SAX-Alto,grade,Yamaha,YAS-480,img,21T85515,2390.0,61,1
65,3757,3757,SAX-Alto,grade,Yamaha,YAS-580AL,img,21M76956,1891.0,49,1
66,653,653,SAX-Tenor,grade,Conn,10M,img,325297/526,250.0,0,1
67,654,654,Broken-SAX-Tenor,grade,Yamaha,Yts-21,img,004947/528,350.0,89,1
68,2224,2224,SAX-Tenor,grade,Selmer,SASE64,img,579677,3725.0,123,1
69,3458,3458,SAX-Tenor,grade,Yamaha,YTS-62II,img,C94439,2708.0,176,1
70,3758,3758,SAX-Tenor,grade,Yamaha,YTS-580AL,img,21M75799,2171.0,124,1
71,972,972,SAX-Soprano,grade,Yamaha,YSS-675,img,2921,2500.0,213,1
